,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
CITI_China_HRC3mm_CNY_t_lag5d,0.015143672,0.08612625,0.010442016,-0.015251188,-0.012106774,-0.024108065,-0.015022033,0.02608128,-0.006034674,0.010520775,-0.0013357954,-0.029276902,-0.01930447,-0.01692131,-0.018895652,0.015397297,-3.1927484e-05,0.016338829,-0.0057636728,0.00876032,0.0023034574,0.0135425115,0.019594343,0.014247701,-0.009889849,0.02427786,-0.012115493
CITI_China_HRC3mm_CNY_t_lag21d,0.020178033,0.08528356,-0.0030077994,-0.0045710215,-0.012978662,-0.022200536,-0.008378164,0.015374546,-0.0019786842,0.022982951,0.019890202,-0.02802429,-0.007618687,-0.009251019,-0.015209268,0.025744185,-0.014493368,0.017913975,-0.013133702,-0.009945614,-0.0019081887,0.014681428,0.025153955,-0.0081680035,0.004343124,0.01754464,-0.021421686
CITI_China_Billet_Q235_CNY_t_lag1d,0.020812126,0.08538457,0.0010694981,-0.01700743,0.00089635566,-0.01995663,-0.009409923,0.02520139,-0.0065353326,0.012758125,-0.013062831,-0.020441275,-0.024314627,-0.010999993,-0.022553293,0.012793073,0.015701633,0.015351777,0.0005506925,0.016104804,0.00836972,0.01907435,0.01545127,0.023460412,-0.010709167,0.0051061595,-0.02049526
CITI_China_Billet_Q235_CNY_t_lag5d,0.022127166,0.08538235,-0.0020925098,-0.013303457,0.0011266486,-0.019081414,-0.00920221,0.02272149,-0.004956645,0.011716566,-0.008452875,-0.021962397,-0.022040097,-0.011570828,-0.02529866,0.015374046,0.012148444,0.024427688,0.00021060999,0.01478368,0.008088603,0.017157165,0.022872176,0.0195024,-0.009408845,0.0058354363,-0.02528643
CITI_China_Billet_Q235_CNY_t_lag21d,0.02642964,0.08386807,-0.0154351685,-0.0020083801,-0.001045221,-0.011347692,-0.0074071353,0.015838437,0.0003167437,0.017611101,0.006917177,-0.017029388,-0.011545448,-0.006009331,-0.024697676,0.025490854,-0.005077797,0.03127073,-0.0028074856,-0.0031882138,0.007346468,0.017275611,0.033593856,-0.004244369,0.0120942835,0.009121459,-0.020778196
CITI_Steel_SEA_USD_t_lag1d,0.029370036,0.08103224,0.0073978268,-0.024319766,-0.010834159,-0.03599242,0.0013039547,0.026366303,-0.005414697,0.0067472444,-0.0101453625,-0.008860248,-0.019895451,-0.024373922,-0.005060275,0.0150682675,0.009618335,0.016442347,-0.003996,0.025915664,0.0032144797,0.008805331,0.02138447,0.007264824,-0.0020382318,0.0064869286,-0.009242893
CITI_Steel_SEA_USD_t_lag5d,0.030718327,0.080937974,0.004315399,-0.02129393,-0.009979151,-0.035288695,0.001986392,0.024029218,-0.0027829886,0.00868466,-0.0070231846,-0.009797456,-0.017404078,-0.024503438,-0.0047934013,0.018718215,0.008235877,0.021221569,-0.0067550745,0.022467818,0.0005249151,0.0055605154,0.027515652,0.0012345606,-9.681928e-06,0.0059229555,-0.011988972
CITI_Steel_SEA_USD_t_lag21d,0.035425596,0.07926119,-0.008986748,-0.011626383,-0.00884406,-0.029890805,0.004968018,0.014714536,0.008619863,0.023618894,0.0069019664,-0.0064999624,-0.00773259,-0.015463196,-0.0040203673,0.03352376,0.0013355832,0.016405862,-0.011951316,0.007517933,-0.0045909486,0.010147427,0.026725177,-0.02312439,0.016286831,0.003735496,-0.015477955
CITI_Steel_US_USD_t_lag1d,0.036811933,0.07006342,0.010088539,0.004684486,-0.028432626,-0.037031274,0.021258047,0.04836402,0.008381322,0.043709926,-0.0044267643,-0.023943081,-0.011413311,-0.037339635,-0.01786223,0.06306369,0.023149893,0.02678755,0.00015951536,-0.03438954,-0.002681498,0.03648528,-0.00911046,-0.008791926,0.013177699,0.0022984967,-0.03286859
CITI_Steel_US_USD_t_lag5d,0.037734695,0.06962286,0.0073318714,0.0052553625,-0.028178314,-0.0338757,0.02392312,0.04776647,0.008685761,0.046958774,-0.0012758439,-0.021233186,-0.010081658,-0.03149727,-0.019116286,0.066671066,0.019108826,0.025596054,-0.0030848505,-0.040345613,-0.00366567,0.033590313,-0.010196684,-0.010395556,0.010497216,0.0029345246,-0.03584877
