,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
HangSeng_lag1d,-0.04911538,0.04860205,0.02565696,0.020396762,-0.045532893,-0.025871817,0.05431337,-0.036654357,-0.0039692167,-0.012053922,-0.032139573,0.067944095,0.018073393,-0.04432823,-0.029162396,-0.0142215695,0.058413852,0.0013101533,0.001560782,0.023692427,0.02572549,0.007748578,0.0004997984,0.016110223,-0.005241283,-0.017540943,-0.0036894195
HangSeng_lag5d,-0.04889514,0.049544476,0.0228842,0.0217733,-0.04392515,-0.031148767,0.05438143,-0.03724593,-0.0054303934,-0.013224364,-0.026877586,0.064569585,0.015651785,-0.043225314,-0.024501652,-0.013058918,0.064246565,0.0066933776,0.0070060883,0.022943296,0.024265593,0.008206804,0.0006161085,0.01763067,-0.013324667,-0.01356631,-0.011374119
HangSeng_lag21d,-0.048310135,0.05299648,0.014973666,0.029059658,-0.031398132,-0.03787909,0.054448843,-0.03204219,-0.008646118,-0.0036165526,-0.025592374,0.05869071,0.015945695,-0.036759958,0.003289049,-0.01111778,0.066899724,0.014212588,0.000800883,0.022718446,0.023579117,0.0050497344,0.033082474,0.025375692,-0.012419996,-0.037037093,-0.044229243
SP500_lag1d,0.06377945,-0.03486301,0.048728146,-0.00096918386,-0.045565292,-0.020015953,0.057840392,0.018498965,0.019311912,-0.0012446344,0.0058192057,0.013871299,-0.0053820903,0.004512001,0.0016465642,-0.00090939115,0.010193962,0.010036713,-0.0012408711,-0.016602457,-0.0037496407,-0.0002336991,0.010034086,-0.009656268,-0.0018133133,-0.008888551,0.01336768
SP500_lag5d,0.06416682,-0.034702793,0.047366455,-0.0011749483,-0.044351872,-0.022352522,0.05933441,0.017149605,0.017893746,-0.0040641786,0.007371039,0.012473873,-0.0050577167,0.0025274768,0.0059304265,0.00096720585,0.0105349235,0.009462277,-0.0007322864,-0.017339196,-0.003281161,-0.0007318474,0.0122713,-0.012589698,-0.0076897205,-0.001922205,0.014002998
SP500_lag21d,0.06530018,-0.034066554,0.042132825,-0.0005490027,-0.035677157,-0.027656732,0.06465979,0.015606009,0.018169696,-0.008979434,0.001209654,0.00941353,0.008944691,0.0036674116,0.025953535,0.0054139257,0.011053835,0.0032235945,-0.018754821,-0.013850361,-0.006759254,-0.009084753,0.03451275,-0.00994181,-0.012486246,0.013225156,-0.0026616931
KOSPI_lag1d,0.04400042,0.04252845,0.065685034,-0.0039836643,-0.05646616,-0.04462191,0.015693014,0.033962473,0.006466961,0.019127335,0.015690506,0.033896755,0.010839734,-0.023809351,-0.0049587404,0.005915029,0.026723875,-0.0058207624,-0.021505876,0.031145135,0.0185977,0.012979931,-0.047114994,0.00048263354,-0.037392188,-0.017030954,0.022636468
KOSPI_lag5d,0.04534811,0.04339336,0.061873056,-0.0022506139,-0.055559125,-0.049148638,0.016906478,0.0326766,0.004348699,0.014310298,0.020073986,0.028763842,0.00772299,-0.021220418,-0.0008848537,0.008000068,0.029745793,-0.0058550024,-0.023636745,0.02869048,0.019048959,0.009393084,-0.046024922,0.0017275147,-0.049147576,-0.008923508,0.017244536
KOSPI_lag21d,0.049816422,0.04644394,0.047034174,0.0043950398,-0.047747433,-0.05532068,0.023145365,0.033820324,0.003198675,0.017684484,0.01976335,0.015579244,0.010262223,-0.004343106,0.02647081,0.010029852,0.022838386,-0.011398114,-0.05715629,0.025968961,0.013836579,-0.0024895882,-0.01041248,0.018806202,-0.06429308,-0.004267671,-0.02515475
MSCI_EM_lag1d,0.005683545,0.051332522,0.06734328,0.0055407854,-0.08440146,-0.036759667,0.056760896,0.0068245577,-0.00097127474,-0.010012349,0.011434487,0.05333387,0.026937382,-0.027415263,-0.00086926017,-0.016308358,0.023497589,-0.008177114,-0.014135691,0.0021385725,0.0048729572,0.008496854,-0.028507845,0.022978377,-0.028292198,-0.013631269,0.02655735
