horizon,date,mu_logret,sigma_logret,C5_point,C5_lower80,C5_upper80,C5_lower95,C5_upper95
1,2025-12-25,-0.022262812,0.047826449374710915,8.718720020353793,8.200379048131493,9.269824994686255,7.93857923326236,9.575526858479432
2,2025-12-26,-0.0334874,0.07576229758304685,8.621403396725654,7.823676322560766,9.5004687948427,7.431713702410619,10.00154146671828
3,2025-12-29,-0.04396796,0.09616035635623,8.531518058180808,7.5423427065184345,9.650422994402147,7.066013486460833,10.300970642939387
4,2025-12-30,-0.054706585,0.12293239894455385,8.44039142668247,7.210111806571221,9.880596406581073,6.63318839078691,10.739964042933504
5,2025-12-31,-0.06502977,0.13317764150366326,8.353707624971866,7.042980634955788,9.908366449367582,6.4345512338451485,10.845268067784092
6,2026-01-01,-0.07526767,0.13317764150366326,8.268619543612003,6.971243133950678,9.807443064090526,6.3690109960494645,10.734801708548074
7,2026-01-02,-0.08557677,0.13317764150366326,8.183815216720104,6.899745063906554,9.706856520532012,6.303689505239651,10.62470404164421
8,2026-01-05,-0.094028905,0.13446531405100468,8.114936210811138,6.83039231939688,9.64105536198472,6.234879007502391,10.561903513466904
9,2026-01-06,-0.10149512,0.13446531405100468,8.054574089944362,6.779585067749131,9.569341249087397,6.188501427428716,10.483339755399294
10,2026-01-07,-0.10429163,0.13446531405100468,8.032080968916416,6.760652336018334,9.54261781853834,6.171219361318428,10.454063884199455
11,2026-01-08,-0.10821497,0.13446531405100468,8.000629921257495,6.7341800014843445,9.505252286535384,6.147055038809919,10.413129450268007
12,2026-01-09,-0.112271674,0.13446531405100468,7.968239401876926,6.7069167430824965,9.466770370518073,6.122168749774504,10.3709720029007
13,2026-01-12,-0.116225466,0.13446531405100468,7.936796856224536,6.680451342104883,9.429414625185888,6.098010756314615,10.330048290396373
14,2026-01-13,-0.12017208,0.13446531405100468,7.905534978210925,6.654138115899504,9.392273673577872,6.073991670145628,10.289359887254431
15,2026-01-14,-0.12203495,0.13446531405100468,7.890821724534034,6.641753869193814,9.374793388036005,6.062687154065379,10.270210003517736
16,2026-01-15,-0.12265542,0.13446531405100468,7.885927225649356,6.63763414203184,9.368978419321532,6.058926608668025,10.263839628471633
17,2026-01-16,-0.12099681,0.13446531405100468,7.899018190205097,6.648652530114909,9.384530804095544,6.068984349620993,10.280877471448356
18,2026-01-19,-0.117196135,0.13446531405100468,7.929096695184707,6.673969980612385,9.420266224618505,6.09209447759738,10.32002609671867
19,2026-01-20,-0.11470304,0.13446531405100468,7.94888936638832,6.690629602756511,9.443781175428162,6.10730161702982,10.345787035977958
20,2026-01-21,-0.113458924,0.13446531405100468,7.958784639239311,6.698958681097145,9.455537616587232,6.114904517898397,10.358666372577712
21,2026-01-22,-0.11182775,0.13446531405100468,7.971777299344539,6.70989474181887,9.470973796813771,6.124887109268006,10.375576911937546
22,2026-01-23,-0.10703323,0.13446531405100468,8.010089997649192,6.742142732384057,9.51649163060918,6.154323532537289,10.425442300179663
23,2026-01-26,-0.10153165,0.14782942861199494,8.054279707968234,6.664217674008957,9.734289380832776,6.028289154846899,10.761166505011659
24,2026-01-27,-0.096964076,0.14782942861199494,8.091152378916739,6.694726584054875,9.778853135140954,6.055886772534763,10.81043132152133
25,2026-01-28,-0.09221273,0.14782942861199494,8.129687723517417,6.726611240711958,9.825426414990298,6.084728857132562,10.861917649853638
26,2026-01-29,-0.0863743,0.14782942861199494,8.177291520833968,6.765998968504744,9.882959280683412,6.120358037315759,10.925519698551014
27,2026-01-30,-0.080970936,0.14782942861199494,8.221595476865767,6.8026570609606845,9.936505022670076,6.153518055790452,10.98471401902062
28,2026-02-02,-0.07318372,0.14782942861199494,8.285869052112101,6.855837593939883,10.014184762854047,6.201623871940158,11.070588250357089
29,2026-02-03,-0.063863635,0.14782942861199494,8.363455175459384,6.920033291861613,10.107954134015467,6.259693738277011,11.17424941930951
30,2026-02-04,-0.055832747,0.14782942861199494,8.430891497135162,6.975831054955862,10.189456809848059,6.310167037106614,11.264349870500684
31,2026-02-05,-0.049845636,0.14782942861199494,8.481519351899623,7.017721409119334,10.250645211794044,6.348060032211085,11.331993080575462
32,2026-02-06,-0.047611885,0.14782942861199494,8.500486265718935,7.033414773173446,10.27356819458575,6.362255867485108,11.357334225158525
33,2026-02-09,-0.04532544,0.15298832362766185,8.519944170415402,7.003061329484522,10.365388608331436,6.312666733790557,11.499015422361381
34,2026-02-10,-0.04023094,0.15298832362766185,8.56346009671688,7.038829447142939,10.418329803885026,6.34490866283407,11.5577466139406
35,2026-02-11,-0.032850377,0.15298832362766185,8.626896755695341,7.0909721613313295,10.495507408110807,6.3919109039654955,11.643364866645552
36,2026-02-12,-0.025416633,0.15593408992368601,8.691265978515148,7.116962655919898,10.613812249114336,6.402531237213521,11.798162728959563
37,2026-02-13,-0.017291259,0.15593408992368601,8.762173244357108,7.175026214522987,10.700404766080263,6.454766125279264,11.894417739157191
38,2026-02-16,-0.0068770805,0.15593408992368601,8.853901392817496,7.250138656471489,10.81242296751775,6.522338456219999,12.018935578567353
39,2026-02-17,0.0040992415,0.15593408992368601,8.951619204878806,7.330156862292675,10.931757331649983,6.594324089289153,12.151585960366456
40,2026-02-18,0.012851611,0.15593408992368601,9.030311651825905,7.394594682791571,11.027856041392198,6.652293363338803,12.258407919241439
41,2026-02-19,0.018227827,0.15593408992368601,9.078990952968596,7.43445667855434,11.087303836660462,6.688153839975773,12.32448924289698
42,2026-02-20,0.022878304,0.15593408992368601,9.121310753226279,7.469110967761655,11.138985169984169,6.719329382110831,12.381937477922389
43,2026-02-23,0.03039263,0.15593408992368601,9.19011005282402,7.525447702976942,11.22300240587703,6.770010792771103,12.475329842309094
44,2026-02-24,0.040303435,0.15593408992368601,9.281643717885016,7.600401762852201,11.334784405767548,6.837440640714472,12.599585123439297
45,2026-02-25,0.052162524,0.15593408992368601,9.392370662689208,7.6910721764470225,11.470004835179877,6.919009166980244,12.74989422944591
46,2026-02-26,0.06474905,0.15593408992368601,9.51133498907089,7.7884878081039295,11.61528467919806,7.006645797215676,12.9113852376468
47,2026-02-27,0.07795343,0.15593408992368601,9.637759826183318,7.892011949454161,11.769674389059494,7.099777738585248,13.083002643143493
48,2026-03-02,0.090805925,0.15593408992368601,9.762427936196326,7.994098641703174,11.921920373343657,7.191616528196493,13.252237113780097
49,2026-03-03,0.10208906,0.15593408992368601,9.873202704787253,8.084807931429019,12.05719878029157,7.273220028039518,13.402610666790617
50,2026-03-04,0.112419054,0.15593408992368601,9.975722025036811,8.168756778214266,12.182395067160817,7.348741727373364,13.541777078526245
51,2026-03-05,0.12288935,0.15593408992368601,10.080718617439269,8.254735384057852,12.310618415235485,7.426089429793544,13.684308328441956
52,2026-03-06,0.13444869,0.15593408992368601,10.197921965718269,8.350708340431467,12.453746739661169,7.512428206715279,13.843407738066281
53,2026-03-09,0.14423515,0.15593408992368601,10.29821269750595,8.43283338820888,12.576223121820345,7.586309187854781,13.979550742413167
54,2026-03-10,0.1524095,0.15593408992368601,10.382739646434782,8.502048786641323,12.679446825417905,7.648576445951361,14.09429274311433
55,2026-03-11,0.16128613,0.15593408992368601,10.475313744544982,8.577854335683698,12.792498685301917,7.716772306905362,14.219959582551255
56,2026-03-12,0.16796713,0.16582142357059448,10.54553287923336,8.526625437162942,13.042471647616352,7.619405581853347,14.595399774872167
57,2026-03-13,0.1731084,0.16817751141955242,10.599890457987785,8.544736652394198,13.149343103618364,7.623394819354941,14.738535342172126
58,2026-03-16,0.17637157,0.16817751141955242,10.634536134600639,8.572665170631014,13.19232180309281,7.648311926797819,14.786708325124444
59,2026-03-17,0.18023913,0.16817751141955242,10.67574536025524,8.605884593761372,13.2434425819085,7.6779494438444065,14.84400741598831
60,2026-03-18,0.18472897,0.16817751141955242,10.72378594815731,8.644610502195885,13.303037192921122,7.7124997058061675,14.910804462326757
61,2026-03-19,0.18761715,0.16817751141955242,10.754802330732344,8.669613850292135,13.341514400146073,7.734807051497164,14.953931915469033
62,2026-03-20,0.18695468,0.16817751141955242,10.747679774761199,8.663872342724776,13.332678896372638,7.72968462574844,14.944028577819047
